Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y
245,234,388,233
244,234,388,233
244,235,388,234
244,235,388,233
244,235,388,234
244,235,388,233
244,235,388,233
244,235,388,234
243,235,388,234
244,235,388,234
243,235,388,234
243,236,387,234
243,235,387,234
243,235,387,234
243,234,387,233
242,234,386,233
242,234,386,234
242,235,386,234
242,235,386,234
242,235,385,234
242,235,385,235
242,235,385,234
241,235,385,234
240,235,385,234
241,234,385,234
240,234,384,234
240,235,384,234
239,235,383,234
238,235,383,234
238,235,382,234
237,235,382,234
238,235,382,234
238,235,382,233
238,234,382,233
238,234,382,232
238,234,382,233
238,234,382,233
238,235,382,233
238,234,382,233
238,234,382,233
237,234,381,232
237,234,381,233
237,234,381,233
236,235,381,233
236,235,380,233
236,235,380,232
236,235,380,233
235,236,380,234
235,236,380,234
235,237,379,234
234,236,379,234
235,237,380,234
235,237,380,234
236,237,380,234
236,236,380,234
235,237,380,235
235,237,380,234
235,237,379,234
235,236,379,234
235,238,379,235
235,238,379,234
235,237,379,234
235,237,379,234
234,237,379,234
234,237,379,234
234,238,378,235
234,237,378,235
234,238,378,235
234,237,378,235
233,237,377,235
233,237,377,234
233,237,377,235
233,238,378,235
233,237,378,235
233,238,378,235
234,238,378,235
234,238,378,235
234,238,378,235
234,238,379,236
234,238,379,236
235,239,379,236
235,238,379,235
236,239,379,236
235,239,379,236
234,239,378,236
234,238,378,236
233,239,378,236
233,239,377,236
233,239,377,236
233,239,377,236
233,239,377,236
233,239,377,236
233,239,377,236
233,239,377,236
232,238,377,235
232,238,377,236
233,238,377,236
231,239,377,236
232,239,377,237
233,240,377,237
233,239,378,237
235,238,380,236
242,238,388,236
251,237,397,236
260,237,402,236
260,238,404,237
259,238,402,239
259,238,401,239
259,239,401,240
258,240,401,240
258,239,402,238
260,238,402,237
258,239,401,237
258,239,401,237
258,239,401,237
260,239,401,238
257,240,401,237
257,240,400,237
256,240,400,238
256,240,400,238
256,240,400,238
257,240,400,238
257,240,401,238
257,241,401,238
257,241,401,238
257,241,401,238
258,241,402,238
258,241,402,238
258,240,402,237
259,240,402,237
259,240,402,237
258,240,402,237
258,240,402,237
258,240,402,237
258,240,402,237
258,241,402,237
260,241,402,238
259,241,403,238
259,241,403,238
259,241,403,238
259,241,403,239
259,242,403,238
259,241,404,238
259,242,404,239
259,242,404,239
260,242,404,239
260,242,404,239
260,242,405,238
261,241,405,238
261,241,406,238
261,242,406,238
262,242,406,239
262,242,406,239
262,243,406,239
262,243,406,239
262,243,406,239
262,243,407,239
262,244,406,240
261,244,406,240
261,244,406,240
261,244,406,240
262,244,406,240
262,245,407,240
262,244,406,241
262,245,406,241
262,244,407,240
262,243,407,240
263,244,407,240
263,245,407,241
263,245,408,241
263,245,408,241
263,244,408,240
263,243,408,240
263,244,408,241
264,244,408,240
264,244,408,241
264,244,408,241
264,244,409,240
264,244,409,241
264,245,409,241
264,244,409,241
264,244,409,241
264,244,409,241
264,244,409,240
265,244,410,240
265,244,410,241
265,245,410,241
265,245,410,241
265,244,410,240
265,244,410,241
266,244,410,240
266,244,411,241
266,244,411,241
266,244,411,241
266,244,411,240
266,244,411,241
266,245,411,242
266,245,412,242
267,245,412,242
267,245,412,242
267,245,412,242
268,245,413,242
268,245,413,242
269,245,414,242
271,245,414,242
269,245,414,242
271,245,414,242
272,245,415,242
270,246,415,243
